seed,threshold,fp_rate,recall_all,recall_det,auc_all,auc_det,pr_all,threshold_boot,fp_rate_boot,recall_all_boot
1,0.0075680600051779385,0.04817275747508306,0.6428571428571429,1.0,0.9423943996203132,0.9979235880398671,0.6578459129016876,0.0078052502659729135,0.03488372093023256,0.6071428571428571
2,0.008348389179054881,0.004966887417218543,0.6071428571428571,1.0,0.9471381267738883,1.0,0.7244935759454708,0.00832185247312705,0.004966887417218543,0.6071428571428571
3,0.009295691209061558,0.0066555740432612314,0.5,0.875,0.9155276919420015,0.9958402662229616,0.5804671253201413,0.009754217301460843,0.0066555740432612314,0.42857142857142855
4,0.009104305430473976,0.01487603305785124,0.5714285714285714,0.875,0.9518299881936245,0.9892561983471074,0.6664564751697298,0.009123669883488273,0.01487603305785124,0.5714285714285714
5,0.007924359204000506,0.019834710743801654,0.5714285714285714,1.0,0.9248524203069657,0.9954545454545455,0.570663377196206,0.008199595221821336,0.013223140495867768,0.5714285714285714
6,0.00721052168353237,0.009966777408637873,0.5357142857142857,0.875,0.9494542002847651,0.9860880398671097,0.6801633262186125,0.007179563353291384,0.009966777408637873,0.5357142857142857
7,0.007326077393136947,0.04477611940298507,0.6071428571428571,1.0,0.9485607675906185,1.0,0.7133949084057533,0.007509109795183501,0.03814262023217247,0.6071428571428571
8,0.008162398001752294,0.01824212271973466,0.6071428571428571,0.875,0.9576226012793178,0.9970978441127695,0.7543611298458004,0.008178487779017581,0.01658374792703151,0.5714285714285714
9,0.01026775824012086,0.006622516556291391,0.6428571428571429,1.0,0.9645222327341532,0.9991721854304635,0.7908928567432311,0.010545960888148994,0.0016556291390728477,0.5357142857142857
10,0.008338977409829758,0.02155887230514096,0.6071428571428571,1.0,0.9498045486851456,0.9979270315091211,0.6821835646019873,0.008415483795524696,0.02155887230514096,0.6071428571428571
11,0.007771088419943954,0.011608623548922056,0.5357142857142857,0.875,0.9476131248519308,0.9939883913764511,0.6921899941144298,0.007792335948358773,0.011608623548922056,0.5357142857142857
12,0.00720179244547868,0.011570247933884297,0.6071428571428571,1.0,0.9576151121605667,0.9979338842975206,0.6992064434539546,0.0073880394827132686,0.011570247933884297,0.6071428571428571
13,0.008013547154215041,0.023140495867768594,0.6428571428571429,1.0,0.95543093270366,0.9958677685950413,0.6836409865846403,0.008167279825826445,0.019834710743801654,0.6428571428571429
14,0.008482722062609032,0.004966887417218543,0.6071428571428571,1.0,0.9545884578997161,0.9997930463576159,0.7355096702803757,0.009135115713095466,0.0016556291390728477,0.6071428571428571
15,0.006738800425995903,0.024875621890547265,0.6071428571428571,1.0,0.951166785122009,0.9983416252072969,0.7052209419270046,0.006815945828663112,0.024875621890547265,0.6071428571428571
16,0.007989323277538686,0.006622516556291391,0.5714285714285714,1.0,0.9540562913907286,0.9999999999999999,0.7279310134643218,0.007960548653492676,0.006622516556291391,0.5714285714285714
17,0.007867257497215103,0.026490066225165563,0.6428571428571429,1.0,0.9545293282876065,0.9989652317880794,0.7332767393470763,0.007990518468229527,0.026490066225165563,0.6428571428571429
18,0.008410670123600562,0.011627906976744186,0.6071428571428571,1.0,0.9563360227812054,0.9983388704318937,0.7091066519523965,0.008671807816769413,0.0049833887043189366,0.6071428571428571
19,0.008402871410775888,0.006622516556291391,0.5714285714285714,1.0,0.9340704824976348,0.9962748344370861,0.6192651755822562,0.008408522810049513,0.006622516556291391,0.5714285714285714
20,0.011252958334229545,0.02155887230514096,0.7142857142857143,1.0,0.9497453210139777,0.9946102819237147,0.6486544030986826,0.011379038504440678,0.02155887230514096,0.7142857142857143
21,0.008915685686627641,0.008278145695364239,0.6071428571428571,1.0,0.9508041627246925,1.0,0.7334343990487838,0.009126320937324626,0.008278145695364239,0.6071428571428571
22,0.006228856205343988,0.018272425249169437,0.6071428571428571,1.0,0.9380042714760323,1.0,0.699588440916591,0.006388034225016045,0.018272425249169437,0.6071428571428571
23,0.008713818218266733,0.0033222591362126247,0.5,0.875,0.9221048884670147,0.9987541528239203,0.647794586636875,0.009480633444560632,0.0033222591362126247,0.42857142857142855
24,0.016066478061407204,0.009917355371900827,0.35714285714285715,0.625,0.945336481700118,0.9954545454545454,0.6302528063506192,0.016041121559916414,0.009917355371900827,0.35714285714285715
25,0.0668759225535698,0.0033112582781456954,0.21428571428571427,0.375,0.9627483443708609,0.9975165562913907,0.7147066067760584,0.04718582624455859,0.0033112582781456954,0.21428571428571427
26,0.007348949947249045,0.006622516556291391,0.5,0.875,0.8959318826868496,0.9971026490066225,0.6047146374024094,0.00753565464561836,0.0033112582781456954,0.5
27,0.00915436057474529,0.011589403973509934,0.5357142857142857,0.875,0.9473155156102177,0.9964817880794702,0.6573045219174098,0.009968916570982504,0.006622516556291391,0.5
28,0.008039837038528804,0.006600660066006601,0.5714285714285714,1.0,0.8966289486091467,0.9975247524752475,0.5726468008991487,0.008391751812595884,0.0033003300330033004,0.5714285714285714
29,0.009817130328218647,0.023178807947019868,0.6428571428571429,1.0,0.9570127719962157,0.9975165562913908,0.7072328158220965,0.009682129249942894,0.024834437086092714,0.6785714285714286
30,0.009228924723832589,0.006611570247933884,0.5714285714285714,1.0,0.9559622195985832,1.0,0.7322639374825662,0.010553195490610219,0.0,0.5714285714285714
31,0.0059396764515887365,0.04462809917355372,0.6071428571428571,1.0,0.9021251475796931,0.9900826446280993,0.5265825305687265,0.00601513287841142,0.04462809917355372,0.6071428571428571
32,0.009353698992616625,0.008291873963515755,0.6071428571428571,1.0,0.9467839374555793,0.9979270315091211,0.674451873178413,0.00920035112445024,0.008291873963515755,0.6071428571428571
33,0.007447918583996268,0.018333333333333333,0.6071428571428571,1.0,0.9539880952380952,0.9989583333333334,0.7218580859632547,0.0073920704058476235,0.018333333333333333,0.6071428571428571
34,0.013145407414353959,0.018211920529801324,0.6071428571428571,1.0,0.9523415326395459,0.9983443708609272,0.690645155092065,0.014386987383663513,0.016556291390728478,0.5714285714285714
35,0.010331822713260108,0.02155887230514096,0.5,0.875,0.8896884624496564,0.9877694859038142,0.4528885834373232,0.010033651676906875,0.02155887230514096,0.5
36,0.008156981615675594,0.014925373134328358,0.6071428571428571,1.0,0.9489753612887941,0.9983416252072969,0.6909556206707371,0.008299140202041387,0.006633499170812604,0.5714285714285714
